ScientificName,Family,Genus,Species,MaxN,Common,SpeciesCode,SurveyID,Site,Season,Year
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,7,Yellowfin Bream,acau,BG-BR01_C_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,6,Yellowfin Bream,acau,BG-BR02_E_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,5,Yellowfin Bream,acau,BG-BR04_C_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,2,Yellowfin Bream,acau,BG-BR04_E_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,6,Yellowfin Bream,acau,BG-BR02_C_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,5,Yellowfin Bream,acau,BG-BR06_E_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,6,Yellowfin Bream,acau,BG-BR04_O_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,6,Yellowfin Bream,acau,BG-BR05_C_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,5,Yellowfin Bream,acau,BG-BR01_E_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,5,Yellowfin Bream,acau,BG-BR02_O_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,5,Yellowfin Bream,acau,BG-BR05_O_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,5,Yellowfin Bream,acau,BG-BR05_E_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,4,Yellowfin Bream,acau,BG-BR07_C_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,2,Yellowfin Bream,acau,BG-BR01_O_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,2,Yellowfin Bream,acau,BG-BR03_O_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,4,Yellowfin Bream,acau,BG-BR07_O_S2021,BG-BR,Summer,2021
Acanthopagrus australis,Sparidae,Acanthopagrus,australis,11,Yellowfin Bream,acau,BG-BR03_C_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,1,Easten Blue Groper,acvi,BG-BR05_E_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,2,Easten Blue Groper,acvi,BG-BR02_C_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,2,Easten Blue Groper,acvi,BG-BR06_E_S2021,BG-BR,Summer,2021
Achoerodus viridis,Labridae,Achoerodus,viridis,1,Easten Blue Groper,acvi,BG-BR01_E_S2021,BG-BR,Summer,2021
